Customer_ID,Age,Gender,Region,Employment_Status,Education_Level,Years_Driving,Car_Make,Car_Model,Manufacture_Year,Annual_Mileage,Number_of_Accidents,Number_of_Claims,Car_Value,Premium_Amount,Marital_Status,Has_AntiTheft_Device,Policy_Term,Credit_Score,Vehicle_Usage
64,42,Female,Suburban,Employed,Bachelor's Degree,17,Mercedes,GLC,2008,29731,5,2,1374606,81396,Single,1,12,583,Commute
65,77,Male,Urban,Self-Employed,Master's Degree,58,Chevrolet,Equinox,2013,10978,2,4,967446,42174,Divorced,0,12,698,Pleasure
66,31,Female,Urban,Retired,Associate Degree,37,Hyundai,Tucson,2012,22534,5,8,110484,51552,Married,0,6,750,Pleasure
67,67,Male,Rural,Unemployed,High School,24,Toyota,Camry,2009,29852,1,2,376164,14796,Single,0,6,778,Business
68,75,Female,Rural,Self-Employed,Doctorate,33,Honda,Accord,2012,8051,4,4,134856,9234,Single,0,6,632,Pleasure
69,26,Male,Rural,Self-Employed,Associate Degree,3,Honda,Civic,2014,28578,1,1,1556028,13410,Single,0,6,834,Business
70,43,Female,Urban,Unemployed,Doctorate,4,Mercedes,GLC,2019,12086,2,7,804492,39600,Divorced,0,6,603,Business
71,70,Male,Urban,Employed,Master's Degree,52,Mercedes,C-Class,2019,12735,1,5,1552770,38646,Single,0,6,460,Pleasure
72,19,Male,Rural,Retired,Doctorate,13,Volkswagen,Jetta,2011,29558,4,7,802152,49860,Married,1,6,711,Pleasure
73,37,Male,Urban,Self-Employed,High School,0,Nissan,Rogue,1999,13828,5,0,667764,68904,Married,0,6,618,Pleasure
74,45,Female,Suburban,Retired,Master's Degree,60,Toyota,RAV4,2019,22257,3,1,571086,21870,Widowed,0,6,691,Pleasure
75,64,Male,Rural,Retired,Bachelor's Degree,21,Hyundai,Santa Fe,1998,17264,0,6,375876,26694,Single,1,6,719,Business
76,77,Male,Rural,Self-Employed,Associate Degree,45,Honda,Civic,2005,21404,2,6,889848,76626,Divorced,1,6,422,Pleasure
77,24,Male,Suburban,Employed,Doctorate,20,Mercedes,C-Class,2010,27029,1,8,673308,84726,Divorced,0,6,685,Business
78,61,Male,Suburban,Self-Employed,Master's Degree,12,Volkswagen,Passat,2001,10360,4,5,1611414,17532,Single,0,6,705,Pleasure
79,78,Female,Urban,Employed,Master's Degree,53,Kia,Soul,2021,27634,2,6,1611882,41094,Divorced,1,12,634,Pleasure
80,25,Male,Suburban,Unemployed,Doctorate,47,Chevrolet,Impala,2010,20941,5,3,1102086,65502,Single,1,12,323,Business
81,64,Female,Rural,Employed,Bachelor's Degree,61,Nissan,Altima,2000,26195,2,1,1572570,84996,Divorced,1,6,553,Business
82,52,Female,Urban,Employed,Doctorate,35,Chevrolet,Equinox,2014,29432,3,8,748656,12474,Widowed,1,6,752,Business
83,31,Female,Suburban,Self-Employed,Bachelor's Degree,28,Mercedes,E-Class,2004,18532,5,0,1549890,45072,Widowed,1,6,384,Business
84,34,Female,Urban,Retired,Doctorate,58,Ford,Fiesta,2005,24364,0,5,553842,47664,Widowed,1,12,485,Pleasure
85,53,Male,Urban,Retired,Master's Degree,37,Kia,Forte,2009,10733,1,9,446616,28602,Divorced,1,12,334,Pleasure
86,67,Female,Urban,Employed,High School,8,Ford,Escape,2006,19402,1,8,1618776,49518,Single,0,6,546,Pleasure
87,57,Female,Urban,Employed,High School,32,BMW,X5,2017,15016,2,9,1553958,25128,Married,0,12,738,Pleasure
88,21,Female,Suburban,Self-Employed,Master's Degree,21,Mercedes,E-Class,2010,5241,4,9,871578,48204,Married,1,12,601,Pleasure
89,19,Female,Rural,Employed,High School,16,Honda,Civic,2017,24437,2,1,1756638,46476,Widowed,1,12,452,Business
90,79,Male,Rural,Self-Employed,Bachelor's Degree,59,Hyundai,Santa Fe,2012,16787,3,1,766710,23094,Married,1,12,512,Business
91,23,Male,Suburban,Unemployed,Master's Degree,22,Hyundai,Santa Fe,2001,21779,0,8,1691820,66726,Married,0,6,707,Commute
92,71,Female,Rural,Employed,Bachelor's Degree,35,Hyundai,Santa Fe,2008,26706,3,9,1466586,39312,Widowed,0,12,628,Commute
93,59,Female,Urban,Unemployed,Master's Degree,5,Hyundai,Tucson,2003,9315,4,9,976284,27180,Married,1,12,305,Commute
94,21,Female,Urban,Employed,Bachelor's Degree,47,Volkswagen,Passat,2016,20026,1,8,518130,68976,Widowed,0,12,814,Commute
95,71,Male,Urban,Employed,Bachelor's Degree,38,Volkswagen,Jetta,2022,9514,4,3,659628,51462,Widowed,1,6,432,Business
96,46,Male,Suburban,Unemployed,High School,28,Kia,Soul,2000,8297,3,7,1239552,32580,Widowed,0,6,715,Business
97,35,Male,Urban,Unemployed,Master's Degree,26,Ford,Focus,2005,10333,1,7,949500,32040,Married,0,12,603,Commute
98,43,Male,Urban,Self-Employed,Doctorate,4,BMW,X5,2007,23790,0,1,668646,77364,Widowed,0,12,719,Business
99,61,Male,Suburban,Self-Employed,High School,8,Volkswagen,Passat,2016,13692,2,3,1234278,89856,Single,1,6,418,Commute
100,51,Female,Urban,Unemployed,Bachelor's Degree,23,Kia,Sportage,2022,8542,0,5,853164,72432,Divorced,0,12,711,Business
101,27,Male,Urban,Employed,Bachelor's Degree,18,Ford,Focus,2012,12947,2,3,620064,56574,Widowed,0,12,799,Pleasure
102,79,Male,Rural,Self-Employed,Doctorate,32,Chevrolet,Impala,2006,18330,0,6,1016388,69804,Married,0,6,440,Commute
103,53,Female,Suburban,Employed,Doctorate,58,Hyundai,Tucson,2000,17148,5,9,1656810,65934,Married,1,6,634,Business
104,31,Male,Urban,Retired,Bachelor's Degree,29,Kia,Forte,2016,16020,1,4,1269522,34452,Divorced,0,12,668,Pleasure
105,48,Male,Urban,Self-Employed,Doctorate,57,Chevrolet,Equinox,2003,17963,1,3,1590660,65322,Single,1,12,615,Commute
106,65,Male,Urban,Self-Employed,Associate Degree,39,Volkswagen,Jetta,2012,7261,1,5,367524,72576,Single,1,6,582,Commute
107,32,Female,Urban,Self-Employed,High School,51,Nissan,Sentra,2019,7539,5,5,1409850,83034,Single,1,12,374,Commute
108,25,Male,Rural,Retired,Master's Degree,54,Nissan,Altima,2015,13413,5,4,1417410,61632,Divorced,0,6,355,Pleasure
109,31,Female,Rural,Unemployed,Doctorate,3,Honda,CR-V,2009,6923,2,5,1617516,18342,Single,0,12,454,Commute
110,40,Female,Rural,Employed,Doctorate,54,Mercedes,GLC,2003,27796,5,4,1755594,49824,Widowed,0,12,337,Business
111,77,Male,Rural,Retired,Associate Degree,31,Nissan,Altima,2004,22491,1,6,533142,50922,Married,1,12,738,Business
112,74,Male,Suburban,Unemployed,Master's Degree,61,Kia,Soul,2020,9838,4,4,1659600,38970,Married,1,6,318,Commute
113,79,Male,Urban,Self-Employed,Associate Degree,48,Ford,Escape,1996,27405,2,3,685620,45468,Widowed,1,12,513,Business
114,57,Male,Rural,Unemployed,Master's Degree,0,Toyota,RAV4,2008,7091,1,8,167976,72036,Single,0,6,440,Commute
115,38,Female,Urban,Unemployed,High School,33,BMW,3 Series,2015,6611,1,4,913248,73098,Divorced,1,12,744,Business
116,33,Male,Suburban,Unemployed,Doctorate,20,Volkswagen,Jetta,2005,10071,5,5,555678,74376,Widowed,0,6,314,Pleasure
117,62,Female,Urban,Employed,High School,30,Chevrolet,Equinox,2007,8948,0,1,1439604,16938,Single,1,12,439,Commute
118,35,Female,Urban,Unemployed,Master's Degree,58,Mercedes,E-Class,1996,29400,4,0,759762,88902,Widowed,1,6,832,Pleasure
119,64,Female,Rural,Unemployed,Doctorate,13,Toyota,Corolla,2015,21544,4,2,1725318,77724,Widowed,1,12,550,Pleasure
120,70,Female,Rural,Unemployed,Associate Degree,25,Honda,CR-V,2001,14592,5,6,787320,59814,Widowed,0,12,624,Pleasure
121,41,Female,Suburban,Unemployed,Bachelor's Degree,21,Mercedes,C-Class,2022,9403,2,0,1158534,19962,Divorced,0,12,348,Commute
122,43,Male,Urban,Retired,Associate Degree,33,Ford,Fiesta,2009,18913,4,0,1729620,21780,Widowed,0,6,328,Pleasure
123,42,Female,Rural,Retired,Bachelor's Degree,32,Nissan,Sentra,2001,23770,1,7,1071648,56466,Married,1,6,577,Pleasure
124,77,Female,Rural,Unemployed,Associate Degree,56,Honda,Accord,2006,5887,2,2,97380,71982,Widowed,1,12,550,Business
125,77,Male,Rural,Unemployed,Master's Degree,12,Ford,Focus,2021,10769,5,1,687276,85536,Married,0,12,787,Commute
126,77,Male,Suburban,Unemployed,High School,31,Toyota,Corolla,2001,27433,3,7,1032588,45360,Single,0,12,839,Pleasure
127,62,Female,Urban,Self-Employed,Bachelor's Degree,54,Nissan,Sentra,1999,18918,0,9,1771326,26928,Divorced,1,6,538,Commute
128,58,Female,Rural,Unemployed,Master's Degree,7,Volkswagen,Jetta,2009,15906,0,1,1449504,55188,Widowed,0,12,450,Pleasure
129,46,Male,Urban,Unemployed,High School,61,Toyota,RAV4,2001,18241,3,9,349848,26856,Married,0,6,682,Business
130,32,Female,Suburban,Retired,High School,21,Hyundai,Elantra,2016,22323,5,6,1531440,89622,Divorced,0,6,682,Business
131,62,Male,Urban,Retired,Doctorate,60,Hyundai,Tucson,2017,16588,2,6,1554102,55206,Married,1,6,418,Pleasure
132,18,Male,Rural,Retired,Doctorate,40,Mercedes,E-Class,2015,24876,3,9,625212,77742,Widowed,0,12,367,Business
133,42,Female,Urban,Employed,Doctorate,55,Nissan,Sentra,2022,7151,4,5,987156,17190,Single,1,12,602,Commute
134,24,Male,Urban,Self-Employed,Bachelor's Degree,19,Volkswagen,Jetta,1996,29631,1,0,966222,23382,Single,1,6,438,Business
135,26,Female,Suburban,Unemployed,Bachelor's Degree,20,Toyota,RAV4,2019,14522,3,0,1062090,48276,Married,1,12,586,Pleasure
136,41,Female,Suburban,Retired,High School,33,Toyota,Corolla,1996,6164,3,2,1668330,11538,Widowed,0,6,697,Pleasure
137,18,Female,Urban,Employed,Bachelor's Degree,48,Toyota,Corolla,2013,9129,4,3,551466,30960,Widowed,0,6,486,Commute
138,61,Male,Urban,Unemployed,High School,29,Mercedes,GLC,2003,10475,2,8,464202,46512,Married,0,6,689,Commute
139,25,Female,Urban,Unemployed,Master's Degree,5,Hyundai,Elantra,1996,13244,1,6,1187604,14076,Divorced,1,6,784,Business
140,41,Male,Suburban,Retired,Associate Degree,34,Volkswagen,Passat,2008,8074,1,0,1695672,84240,Widowed,1,6,829,Pleasure
141,28,Female,Suburban,Unemployed,High School,26,Kia,Forte,2009,5329,0,3,840510,23562,Married,1,12,332,Commute
142,68,Female,Urban,Unemployed,High School,19,Volkswagen,Golf,2018,12786,1,5,716400,42390,Widowed,0,12,775,Pleasure
143,34,Male,Suburban,Unemployed,Master's Degree,61,BMW,3 Series,2006,20970,1,5,1031778,77742,Single,1,6,300,Pleasure
144,25,Female,Rural,Retired,Doctorate,48,Toyota,RAV4,2013,18092,1,6,479970,27720,Widowed,1,12,636,Business
145,52,Female,Suburban,Employed,Doctorate,37,Kia,Soul,2009,16955,1,8,759510,76176,Married,0,6,486,Business
146,52,Male,Suburban,Unemployed,Doctorate,39,BMW,3 Series,2000,6669,4,5,318240,69156,Single,0,12,480,Commute
147,50,Male,Suburban,Employed,High School,13,Mercedes,GLC,2019,13340,5,0,1026864,18666,Divorced,1,12,445,Business
148,76,Male,Rural,Unemployed,High School,9,Kia,Sportage,2004,24961,0,2,812790,44136,Married,0,6,323,Pleasure
149,22,Female,Rural,Retired,Bachelor's Degree,51,Ford,Escape,2004,18612,5,0,923274,29934,Widowed,0,12,573,Commute
150,59,Male,Rural,Employed,Bachelor's Degree,41,Chevrolet,Malibu,1997,29708,3,5,1134594,18126,Single,1,6,466,Business
151,56,Male,Urban,Retired,Associate Degree,14,Hyundai,Santa Fe,2003,7306,0,6,1773990,46242,Widowed,1,6,506,Commute
152,75,Female,Urban,Self-Employed,Associate Degree,39,Chevrolet,Malibu,2017,6299,2,2,929682,44874,Single,1,12,389,Pleasure
153,58,Male,Rural,Unemployed,Bachelor's Degree,42,Ford,Escape,1999,20051,5,9,1446696,49950,Widowed,0,12,369,Business
154,45,Female,Urban,Self-Employed,High School,47,Hyundai,Tucson,2018,12228,5,8,795312,43002,Single,0,6,390,Business
155,24,Female,Urban,Self-Employed,Master's Degree,57,Nissan,Rogue,2016,28458,3,0,759222,65610,Divorced,1,6,426,Business
156,26,Male,Urban,Self-Employed,Bachelor's Degree,2,Kia,Sportage,2001,15911,0,0,1032498,25920,Single,0,6,371,Commute
157,25,Female,Rural,Unemployed,High School,14,Ford,Focus,2013,27674,0,6,1656612,50364,Divorced,1,12,385,Commute
158,29,Male,Suburban,Retired,Bachelor's Degree,44,Ford,Fiesta,2004,9937,0,4,1245708,21636,Widowed,0,6,336,Business
159,51,Male,Rural,Self-Employed,Doctorate,30,Hyundai,Tucson,2005,5824,0,4,1362690,37134,Widowed,1,6,849,Pleasure
160,50,Male,Rural,Employed,Bachelor's Degree,10,Honda,Civic,2000,10785,0,4,520380,54234,Divorced,1,12,539,Business
161,65,Male,Urban,Unemployed,Doctorate,45,BMW,5 Series,2021,27341,5,4,469854,78822,Married,0,12,781,Commute
162,72,Female,Urban,Retired,High School,38,Toyota,Corolla,2013,25975,0,1,1361016,63576,Divorced,1,12,711,Pleasure
163,40,Female,Suburban,Retired,Doctorate,18,Mercedes,E-Class,2001,28150,4,0,120654,51354,Married,0,12,746,Business
164,79,Male,Suburban,Self-Employed,Bachelor's Degree,14,Volkswagen,Jetta,2010,9697,4,4,1078452,89280,Widowed,1,6,756,Commute
165,41,Male,Suburban,Unemployed,Doctorate,37,Nissan,Sentra,2020,29449,3,9,1688346,32202,Married,1,12,841,Commute
166,54,Female,Suburban,Self-Employed,Master's Degree,19,Toyota,Camry,2016,29112,1,8,1183500,43758,Married,1,12,529,Pleasure
167,52,Male,Rural,Employed,Doctorate,21,Ford,Focus,2020,22823,0,7,759780,54630,Single,1,6,340,Business
168,61,Female,Suburban,Retired,Doctorate,6,Hyundai,Elantra,2006,17418,5,8,1472940,73512,Married,0,6,677,Business
169,57,Male,Rural,Retired,Associate Degree,55,Ford,Fiesta,2018,18539,1,2,1578654,28728,Single,0,12,563,Business
170,39,Female,Urban,Unemployed,Master's Degree,13,Kia,Sportage,2018,25371,4,1,1438488,31230,Married,0,6,550,Business
171,44,Female,Suburban,Retired,High School,53,Mercedes,C-Class,2016,10213,2,4,1359990,74970,Married,1,12,563,Business
172,52,Female,Urban,Unemployed,Doctorate,3,BMW,5 Series,2012,7724,5,6,1137276,43272,Widowed,0,6,400,Commute
173,18,Male,Urban,Self-Employed,Master's Degree,8,Hyundai,Santa Fe,2008,12788,0,3,1312182,16110,Single,0,6,308,Commute
174,52,Male,Rural,Employed,High School,38,Volkswagen,Golf,2020,8987,5,1,1432062,75222,Married,1,12,534,Commute
175,54,Male,Suburban,Unemployed,Master's Degree,24,Nissan,Sentra,2010,21955,3,8,567756,55278,Married,1,12,452,Business
176,64,Male,Rural,Self-Employed,Associate Degree,46,Kia,Soul,2020,20546,1,5,765738,62676,Single,0,6,363,Business
177,31,Male,Urban,Employed,High School,34,Mercedes,E-Class,2000,14808,3,2,1325538,67950,Single,1,12,804,Pleasure
178,20,Female,Suburban,Retired,High School,36,BMW,X5,1995,9649,0,0,1650186,63720,Widowed,1,6,657,Commute
179,18,Female,Urban,Employed,Doctorate,48,Hyundai,Tucson,2007,6686,1,0,1050138,33030,Single,0,6,779,Business
180,22,Female,Urban,Employed,Bachelor's Degree,26,Ford,Escape,2000,24016,5,7,329472,37224,Married,0,6,838,Pleasure
181,43,Female,Suburban,Employed,High School,27,Nissan,Rogue,2000,7586,5,3,1674342,57924,Divorced,1,12,425,Pleasure
182,72,Female,Suburban,Retired,High School,23,Honda,CR-V,2000,23605,1,8,1540116,30834,Widowed,0,12,798,Pleasure
183,31,Female,Suburban,Unemployed,Associate Degree,32,Toyota,Camry,2006,23032,5,4,1042830,63972,Single,0,12,365,Business
184,56,Female,Rural,Unemployed,Associate Degree,32,Chevrolet,Equinox,2003,21257,0,4,344232,45234,Widowed,0,6,358,Commute
185,44,Male,Rural,Employed,Associate Degree,61,Kia,Forte,2014,20097,2,7,1430946,73530,Married,1,12,450,Business
186,26,Female,Urban,Self-Employed,Doctorate,15,Honda,CR-V,2021,5762,0,6,936594,33732,Divorced,0,12,552,Business
187,32,Male,Suburban,Self-Employed,High School,22,Volkswagen,Jetta,2001,25426,3,7,1188378,15822,Divorced,0,12,608,Commute
188,32,Female,Urban,Employed,Associate Degree,45,Volkswagen,Golf,2021,15101,4,3,1313622,10656,Widowed,1,6,493,Commute
189,43,Female,Urban,Employed,Associate Degree,10,Chevrolet,Impala,1997,18240,4,9,863730,17856,Married,0,12,363,Pleasure
190,59,Male,Urban,Self-Employed,Master's Degree,45,Honda,Civic,2018,22576,4,1,105642,29790,Divorced,1,12,582,Business
191,77,Female,Urban,Employed,Master's Degree,39,Chevrolet,Equinox,2009,9680,1,5,749412,82854,Single,1,12,363,Commute
192,30,Male,Urban,Employed,Associate Degree,18,Chevrolet,Malibu,1996,22165,1,6,1028394,89118,Married,0,6,666,Commute
193,68,Female,Suburban,Unemployed,Doctorate,33,Ford,Escape,2012,18063,0,5,1118916,25956,Widowed,0,12,352,Pleasure
194,49,Male,Rural,Unemployed,Bachelor's Degree,22,Mercedes,GLC,2015,23410,1,2,596736,20880,Married,1,12,499,Business
195,56,Female,Suburban,Employed,Master's Degree,9,Volkswagen,Passat,1995,16083,5,2,963558,34542,Widowed,1,12,677,Commute
196,66,Male,Suburban,Employed,Master's Degree,36,Mercedes,GLC,1995,17166,3,4,1673604,40266,Widowed,0,12,423,Business
197,69,Male,Suburban,Retired,High School,46,Volkswagen,Passat,2005,7626,5,6,740286,41130,Single,1,6,370,Commute
198,78,Female,Rural,Unemployed,High School,0,Honda,Accord,1997,25377,0,1,711378,51840,Divorced,0,12,440,Business
199,49,Female,Rural,Employed,Associate Degree,1,Nissan,Altima,2016,28298,3,3,184860,77166,Married,0,12,759,Pleasure
200,21,Male,Rural,Retired,High School,50,Mercedes,E-Class,2004,13621,4,7,1703520,73998,Married,0,12,608,Pleasure
201,47,Female,Suburban,Retired,High School,21,Nissan,Sentra,2006,22336,3,2,772002,75006,Single,0,6,316,Commute
202,54,Male,Rural,Retired,Bachelor's Degree,61,Mercedes,E-Class,2000,16387,5,6,422874,17172,Married,1,12,484,Commute
203,40,Female,Urban,Retired,Doctorate,16,Kia,Soul,2018,29287,4,9,932832,73350,Widowed,0,6,615,Business
204,56,Male,Rural,Unemployed,Associate Degree,46,Chevrolet,Malibu,2001,14389,1,2,1798974,74790,Married,0,12,377,Commute
205,62,Female,Suburban,Retired,Bachelor's Degree,23,Chevrolet,Equinox,2011,12949,0,7,1502190,54432,Married,0,12,702,Pleasure
206,32,Male,Suburban,Unemployed,Associate Degree,49,Ford,Focus,2011,19722,2,6,1722078,14436,Widowed,0,6,462,Pleasure
207,60,Female,Urban,Retired,Doctorate,20,Volkswagen,Jetta,1998,18452,3,0,1212318,59940,Single,0,12,445,Commute
208,46,Male,Rural,Retired,Associate Degree,39,Mercedes,E-Class,1995,7695,0,3,161604,67950,Married,0,6,828,Commute
