Customer_ID,Age,Gender,Region,Employment_Status,Education_Level,Years_Driving,Car_Make,Car_Model,Manufacture_Year,Annual_Mileage,Number_of_Accidents,Number_of_Claims,Car_Value,Premium_Amount,Marital_Status,Has_AntiTheft_Device,Policy_Term,Credit_Score,Vehicle_Usage,Credit_Category
38,32,Female,KwaZulu-Natal,Student,Postgraduate,14,Hyundai,Creta,2006,9187,0,0,590667,12070,Widowed,0,6,312,Commercial,Poor
39,64,Male,Mpumalanga,Self-employed,Diploma,34,Mercedes,A200,2012,30473,0,3,138835,2936,Divorced,1,24,616,Private,Fair
40,68,Male,Western Cape,Retired,High School,19,Toyota,Fortuner,2008,50289,0,1,1149224,23206,Widowed,1,6,731,Commercial,Good
41,61,Female,Gauteng,Employed,Diploma,28,Toyota,Fortuner,2007,38737,0,1,1086252,21924,Single,1,12,525,Business,Poor
42,72,Female,Western Cape,Self-employed,High School,8,Hyundai,Creta,2000,7578,2,0,319074,6639,Married,0,12,613,Business,Fair
43,69,Female,North West,Retired,Diploma,11,BMW,118i,2003,42881,1,0,489283,10029,Divorced,0,6,638,Business,Fair
44,74,Male,KwaZulu-Natal,Retired,High School,53,BMW,118i,2020,54939,1,0,661523,13390,Married,0,6,642,Business,Fair
46,54,Male,North West,Employed,Postgraduate,26,Volkswagen,Tiguan,2010,35651,1,1,400201,8244,Widowed,0,6,659,Commercial,Fair
47,68,Male,Limpopo,Retired,Postgraduate,1,Ford,EcoSport,2007,6653,0,1,209635,4435,Married,0,6,834,Business,Excellent
48,24,Male,Free State,Employed,Postgraduate,6,Ford,Ranger,2007,37111,0,0,1193342,24029,Divorced,1,6,557,Private,Poor
49,38,Male,Northern Cape,Self-employed,High School,20,BMW,118i,2019,6260,0,0,1167660,23543,Widowed,0,12,558,Private,Poor
50,26,Female,Gauteng,Employed,Diploma,8,Ford,Ranger,2010,8362,0,0,1451107,29186,Married,0,12,393,Private,Poor
51,56,Male,Limpopo,Self-employed,Postgraduate,38,BMW,X5,2006,10480,0,0,603610,12273,Married,1,12,403,Commercial,Poor
52,35,Male,Eastern Cape,Student,Postgraduate,17,Mercedes,GLA,2010,36881,1,1,1173519,23643,Divorced,1,24,420,Business,Poor
53,21,Female,Free State,Self-employed,Diploma,3,Toyota,Corolla,2017,32247,1,0,672835,13671,Single,0,24,722,Private,Good
54,42,Male,Mpumalanga,Employed,Diploma,24,BMW,118i,2021,31865,0,1,377444,7762,Widowed,0,24,372,Private,Poor
55,31,Female,Western Cape,Employed,Degree,6,BMW,X5,2003,25771,2,1,400822,8257,Widowed,0,12,595,Private,Fair
56,67,Male,Western Cape,Retired,Diploma,7,Toyota,Corolla,2005,37631,1,0,500033,10257,Divorced,0,6,587,Business,Fair
57,26,Female,Mpumalanga,Self-employed,Diploma,8,BMW,320i,2006,30335,1,0,1485443,29960,Single,1,24,573,Commercial,Poor
58,43,Male,Limpopo,Employed,Diploma,25,Volkswagen,Tiguan,2009,40893,1,0,1229846,24730,Single,1,24,785,Business,Very Good
59,70,Male,North West,Retired,Degree,10,Ford,Ranger,2007,11671,0,0,1418619,28586,Widowed,1,6,707,Business,Good
60,19,Female,North West,Self-employed,Diploma,1,Volkswagen,Golf,2003,41913,0,0,287528,5916,Single,1,6,534,Business,Poor
61,37,Male,Northern Cape,Unemployed,High School,19,Mercedes,A200,2008,16038,1,0,1485108,29884,Divorced,0,12,303,Private,Poor
62,45,Male,Limpopo,Employed,Postgraduate,27,Volkswagen,Polo,2005,27716,0,0,778148,15701,Married,1,6,689,Business,Good
63,64,Female,Northern Cape,Self-employed,High School,31,Ford,EcoSport,2016,53041,0,0,1097815,22183,Divorced,0,24,605,Commercial,Fair
64,24,Male,Mpumalanga,Student,Degree,6,BMW,X5,2018,16776,1,0,506034,10280,Divorced,0,24,737,Business,Good
65,61,Male,Gauteng,Employed,Degree,37,BMW,118i,2013,47966,1,0,1140395,23033,Married,1,12,356,Commercial,Poor
66,25,Female,North West,Self-employed,Degree,7,Volkswagen,Tiguan,2000,24632,0,0,128337,2762,Married,0,12,684,Private,Good
67,64,Female,Northern Cape,Employed,Degree,11,Hyundai,Tucson,2005,19554,0,0,1265269,25544,Widowed,0,6,386,Private,Poor
68,52,Female,Free State,Unemployed,Degree,10,Volkswagen,Tiguan,2021,32282,0,0,426362,8794,Widowed,0,12,628,Commercial,Fair
69,31,Female,Free State,Student,Postgraduate,13,BMW,320i,2006,28247,0,0,214829,4551,Divorced,0,24,391,Commercial,Poor
70,34,Female,KwaZulu-Natal,Unemployed,Diploma,16,Toyota,Fortuner,2000,43143,1,0,1281828,25879,Single,0,12,705,Commercial,Good
71,53,Male,Limpopo,Unemployed,High School,35,BMW,118i,2016,16064,0,0,271775,5588,Widowed,1,12,458,Business,Poor
72,67,Female,Northern Cape,Retired,High School,49,Hyundai,i20,2020,19983,1,1,547771,11091,Married,0,12,644,Private,Fair
73,57,Male,Free State,Unemployed,Diploma,25,Hyundai,i20,2020,7237,1,0,1107575,22343,Single,0,12,629,Private,Fair
74,21,Female,Mpumalanga,Self-employed,Degree,3,Volkswagen,Tiguan,2016,10967,0,0,1395690,28154,Single,0,6,478,Private,Poor
75,19,Male,Northern Cape,Self-employed,Diploma,1,Toyota,Hilux,2006,39251,1,0,396210,8149,Single,0,6,462,Commercial,Poor
76,23,Male,Gauteng,Student,Degree,5,Mercedes,GLA,2013,26512,1,0,1277435,25763,Divorced,1,6,485,Private,Poor
77,71,Female,KwaZulu-Natal,Self-employed,Postgraduate,33,Hyundai,Tucson,2006,44791,2,0,626876,12770,Widowed,0,24,609,Commercial,Fair
78,59,Male,Northern Cape,Self-employed,High School,5,Ford,EcoSport,2021,18991,1,0,634070,12887,Married,1,24,689,Private,Good
79,21,Male,Free State,Student,High School,3,Volkswagen,Polo,2012,35180,0,0,1107129,22345,Married,1,12,345,Business,Poor
80,71,Female,Gauteng,Retired,Postgraduate,32,Volkswagen,Polo,2022,18500,1,1,1186925,23921,Widowed,1,24,410,Private,Poor
81,46,Female,Limpopo,Employed,Postgraduate,28,Ford,Fiesta,2021,44958,0,0,419804,8596,Widowed,0,12,636,Commercial,Fair
82,35,Female,Northern Cape,Self-employed,Degree,17,BMW,118i,2017,5296,1,0,912203,18424,Single,1,12,371,Business,Poor
83,43,Female,KwaZulu-Natal,Employed,Diploma,24,Ford,Fiesta,2020,52431,1,0,1337217,26946,Married,1,12,848,Commercial,Excellent
84,61,Male,Free State,Unemployed,Degree,13,Mercedes,GLA,2006,21022,1,0,363471,7523,Widowed,0,24,745,Commercial,Very Good
85,51,Male,KwaZulu-Natal,Unemployed,Degree,33,Hyundai,Tucson,2001,26459,0,0,96620,2122,Widowed,0,24,498,Commercial,Poor
86,27,Male,Free State,Self-employed,High School,9,Ford,EcoSport,2020,6775,0,0,861373,17410,Widowed,1,12,363,Business,Poor
87,53,Male,Free State,Employed,Degree,6,Volkswagen,Tiguan,2018,21394,0,0,1222606,24736,Widowed,1,6,333,Commercial,Poor
88,31,Male,Gauteng,Student,Diploma,13,BMW,X5,2013,24597,0,0,1247453,25131,Widowed,0,6,745,Business,Very Good
89,48,Male,Eastern Cape,Employed,Degree,30,Toyota,Hilux,2000,15758,0,1,716047,14519,Divorced,0,12,528,Commercial,Poor
90,65,Female,Gauteng,Retired,High School,25,Volkswagen,Golf,2015,10242,0,0,426304,8725,Single,0,12,753,Business,Very Good
91,32,Male,Western Cape,Student,Diploma,14,Ford,Ranger,2006,42307,0,0,1023678,20634,Single,0,6,824,Business,Excellent
92,25,Male,Mpumalanga,Student,Diploma,7,BMW,118i,2015,33183,3,1,735032,14920,Married,1,6,321,Private,Poor
93,31,Male,Western Cape,Student,High School,13,Ford,Ranger,2019,36462,0,0,376719,7663,Widowed,1,24,755,Business,Very Good
94,40,Female,North West,Employed,High School,22,Volkswagen,Tiguan,2011,14091,0,0,521265,10576,Divorced,0,6,566,Private,Poor
95,74,Female,Gauteng,Retired,Degree,13,Toyota,Hilux,2004,26742,0,0,210078,4465,Single,0,12,350,Business,Poor
96,57,Female,KwaZulu-Natal,Employed,High School,28,Hyundai,Tucson,2016,27682,0,0,512179,10418,Widowed,1,6,494,Private,Poor
97,38,Female,North West,Employed,Postgraduate,20,Mercedes,GLA,2020,16197,1,0,372862,7625,Divorced,0,6,488,Private,Poor
98,33,Male,Eastern Cape,Unemployed,High School,15,Mercedes,GLA,2023,46990,0,1,619585,12531,Divorced,1,24,552,Private,Poor
99,62,Male,KwaZulu-Natal,Employed,Postgraduate,13,Hyundai,i20,2012,17725,2,0,863935,17521,Married,1,24,715,Commercial,Good
100,35,Male,Eastern Cape,Self-employed,High School,7,Hyundai,Creta,2013,45407,0,0,666298,13543,Divorced,1,6,480,Private,Poor
101,64,Female,Mpumalanga,Unemployed,Postgraduate,46,Ford,EcoSport,2021,31056,1,0,957467,19304,Divorced,0,24,791,Business,Very Good
102,70,Male,Northern Cape,Retired,Postgraduate,17,Mercedes,C200,2015,12616,0,0,971615,19651,Widowed,0,6,714,Business,Good
103,41,Male,North West,Unemployed,High School,9,BMW,320i,2012,47721,1,2,582361,11916,Divorced,1,24,534,Commercial,Poor
104,43,Male,Northern Cape,Employed,Diploma,14,BMW,320i,2017,11759,0,1,625177,12725,Divorced,1,12,335,Private,Poor
105,42,Female,Gauteng,Employed,Diploma,24,Ford,Fiesta,2017,34534,0,0,461179,9432,Widowed,1,12,359,Business,Poor
106,62,Female,Mpumalanga,Employed,Postgraduate,41,Volkswagen,Polo,2008,13806,0,0,541680,11016,Married,1,12,402,Business,Poor
107,58,Female,Gauteng,Employed,Diploma,38,Toyota,Fortuner,2000,19166,0,0,1302697,26202,Widowed,1,6,555,Private,Poor
108,46,Male,Free State,Unemployed,High School,28,Hyundai,i20,2001,28490,1,0,324569,6715,Divorced,0,12,461,Business,Poor
109,32,Male,Northern Cape,Self-employed,Postgraduate,14,BMW,118i,2007,50715,2,0,932355,18838,Widowed,1,24,574,Business,Poor
110,62,Male,Limpopo,Employed,Degree,44,Mercedes,C200,2012,30785,1,0,389557,7971,Single,0,6,627,Commercial,Fair
112,42,Female,KwaZulu-Natal,Unemployed,Degree,24,Toyota,Corolla,2018,25377,0,0,131103,2890,Married,0,12,311,Commercial,Poor
113,24,Male,Northern Cape,Employed,Degree,6,Ford,Ranger,2018,15143,0,0,709161,14364,Widowed,0,24,569,Private,Poor
114,26,Female,Western Cape,Student,Postgraduate,8,Hyundai,Creta,2001,46255,0,1,1380228,27817,Divorced,1,12,737,Commercial,Good
115,41,Male,Mpumalanga,Employed,Degree,23,BMW,118i,2009,44428,0,0,73879,1623,Divorced,1,6,800,Commercial,Excellent
116,18,Female,KwaZulu-Natal,Self-employed,Diploma,0,Toyota,Fortuner,2004,5521,0,0,1258074,25333,Divorced,0,6,741,Private,Very Good
117,61,Male,Northern Cape,Unemployed,Degree,33,Mercedes,GLA,2022,53611,1,0,132242,2856,Married,0,6,527,Business,Poor
118,25,Male,Northern Cape,Self-employed,Diploma,7,Mercedes,C200,2021,59493,3,0,1193481,24026,Widowed,0,12,807,Business,Excellent
119,41,Female,Free State,Employed,Postgraduate,23,Hyundai,Creta,2000,41383,0,0,447299,9055,Married,0,12,820,Private,Excellent
120,28,Female,Free State,Self-employed,Degree,10,BMW,X5,2012,19268,0,0,116476,2510,Divorced,0,6,751,Commercial,Very Good
121,68,Male,North West,Retired,Degree,49,Toyota,Fortuner,2011,6620,1,1,1326586,26710,Married,1,24,364,Business,Poor
122,34,Male,North West,Self-employed,Diploma,16,Volkswagen,Tiguan,2009,33585,0,0,798479,16160,Widowed,1,12,742,Business,Very Good
123,25,Male,Limpopo,Student,Diploma,7,Hyundai,i20,2002,27385,0,0,346230,7061,Married,1,24,559,Business,Poor
124,52,Female,Eastern Cape,Unemployed,Postgraduate,28,Mercedes,GLA,2014,5504,0,1,1420759,28646,Divorced,1,24,454,Commercial,Poor
125,52,Male,Northern Cape,Self-employed,Postgraduate,8,Ford,EcoSport,2004,45217,1,1,71853,1730,Divorced,0,12,486,Commercial,Poor
126,50,Female,Western Cape,Employed,Degree,22,Hyundai,i20,2018,13086,0,1,668352,13572,Divorced,0,24,535,Private,Poor
127,22,Male,Western Cape,Unemployed,High School,4,Volkswagen,Polo,2018,24848,0,1,1284530,25878,Single,0,6,324,Business,Poor
128,59,Male,North West,Employed,Degree,35,Volkswagen,Golf,2020,53580,2,0,673097,13638,Married,0,24,635,Private,Fair
129,56,Male,Gauteng,Employed,Degree,38,Hyundai,Creta,2012,11198,0,0,274320,5591,Widowed,0,12,845,Private,Excellent
130,58,Male,Eastern Cape,Employed,Postgraduate,31,Hyundai,i20,2007,42511,0,0,1168124,23502,Single,1,24,775,Private,Very Good
131,45,Female,Western Cape,Unemployed,Postgraduate,27,Mercedes,A200,2007,28531,0,0,206260,4267,Widowed,0,6,693,Private,Good
132,24,Female,North West,Self-employed,Degree,6,Hyundai,Tucson,2023,28607,1,0,1416234,28500,Single,0,24,815,Private,Excellent
133,26,Male,Free State,Student,Diploma,8,BMW,118i,2005,30526,1,0,1280541,25875,Widowed,1,12,399,Commercial,Poor
134,25,Male,Free State,Self-employed,Postgraduate,7,Volkswagen,Polo,2008,56954,0,0,892185,17984,Widowed,1,24,641,Business,Fair
135,29,Male,Free State,Self-employed,Degree,11,Mercedes,C200,2013,14965,1,0,1328625,26756,Single,1,24,609,Commercial,Fair
136,51,Female,Free State,Employed,High School,31,BMW,X5,2004,31442,1,1,538971,10997,Divorced,1,6,325,Business,Poor
137,50,Male,Free State,Self-employed,Degree,5,BMW,X5,2015,13247,1,0,681318,13838,Divorced,0,6,830,Private,Excellent
138,65,Female,Gauteng,Employed,High School,22,Toyota,Fortuner,2013,17451,1,0,1448638,29211,Widowed,0,6,477,Business,Poor
139,72,Female,Limpopo,Retired,High School,17,Hyundai,Creta,2009,29465,1,1,1298963,26256,Divorced,0,12,468,Commercial,Poor
140,40,Female,North West,Unemployed,High School,22,BMW,X5,2022,25254,1,0,801693,16292,Divorced,0,6,408,Commercial,Poor
141,41,Female,North West,Employed,Degree,23,BMW,320i,2016,7536,0,0,735876,14839,Widowed,1,6,523,Private,Poor
142,54,Male,North West,Employed,Postgraduate,3,Toyota,Corolla,2015,48015,1,0,770679,15700,Divorced,0,12,621,Commercial,Fair
143,52,Male,North West,Employed,Diploma,19,Ford,EcoSport,2019,28139,1,0,794913,16087,Married,1,6,829,Business,Excellent
144,61,Female,Western Cape,Unemployed,Diploma,38,BMW,320i,2016,29562,0,0,421789,8596,Married,1,12,684,Business,Good
145,57,Male,Gauteng,Employed,Degree,27,Ford,Fiesta,2015,37914,0,0,1070451,21627,Married,0,6,522,Business,Poor
146,39,Male,Eastern Cape,Employed,Degree,17,Toyota,Corolla,2009,35101,0,1,373264,7717,Married,1,24,463,Commercial,Poor
147,44,Male,Free State,Self-employed,High School,26,Volkswagen,Polo,2017,48146,0,0,1387485,27982,Married,1,12,333,Commercial,Poor
148,52,Female,KwaZulu-Natal,Self-employed,Postgraduate,34,Hyundai,Tucson,2005,9290,1,1,844864,17097,Married,0,6,333,Private,Poor
149,18,Male,Northern Cape,Unemployed,Degree,0,Volkswagen,Golf,2016,56488,0,0,1094215,22110,Widowed,1,6,619,Commercial,Fair
150,52,Male,Eastern Cape,Unemployed,Diploma,34,Mercedes,A200,2008,21841,1,0,812991,16466,Divorced,0,6,748,Commercial,Very Good
151,54,Male,Free State,Employed,Degree,36,Mercedes,C200,2021,34100,1,0,183921,3815,Married,1,12,463,Private,Poor
152,64,Male,Eastern Cape,Employed,Postgraduate,46,Toyota,Corolla,2007,13386,0,0,279950,5714,Single,1,24,566,Private,Poor
153,31,Male,Mpumalanga,Unemployed,Postgraduate,11,Hyundai,Creta,2007,35330,0,0,389564,8048,Married,0,6,459,Business,Poor
154,20,Male,Mpumalanga,Unemployed,Degree,1,BMW,118i,2011,46254,0,0,279701,5812,Divorced,0,6,798,Private,Very Good
155,18,Male,KwaZulu-Natal,Unemployed,Degree,0,Volkswagen,Golf,2017,37504,0,0,336509,6936,Widowed,1,6,382,Business,Poor
156,22,Male,Northern Cape,Student,Postgraduate,4,BMW,X5,2001,33068,2,0,157044,3359,Divorced,0,12,642,Business,Fair
157,43,Male,Gauteng,Employed,Postgraduate,25,Mercedes,A200,2002,39865,0,0,877371,17692,Widowed,0,6,649,Private,Fair
158,72,Male,KwaZulu-Natal,Retired,High School,49,Toyota,Corolla,2023,12437,0,0,927420,18702,Widowed,1,24,778,Commercial,Very Good
159,31,Female,North West,Student,Degree,13,BMW,X5,2010,50875,0,0,719455,14573,Married,0,12,301,Private,Poor
160,56,Male,KwaZulu-Natal,Employed,Degree,38,Mercedes,C200,2023,52481,0,0,1319254,26559,Widowed,1,6,551,Commercial,Poor
161,44,Female,Mpumalanga,Employed,Degree,26,Ford,Fiesta,2020,10723,1,0,889083,17963,Divorced,0,24,509,Private,Poor
162,26,Male,Free State,Self-employed,Diploma,8,Hyundai,Creta,2012,37285,1,1,205216,4306,Divorced,0,24,792,Business,Very Good
163,32,Female,Eastern Cape,Self-employed,High School,14,Ford,Ranger,2017,54309,1,0,1267163,25532,Married,1,24,372,Business,Poor
164,32,Female,Limpopo,Self-employed,Postgraduate,14,Toyota,Hilux,2010,33792,0,0,565673,11475,Widowed,0,6,761,Commercial,Very Good
165,43,Male,Western Cape,Self-employed,High School,25,Ford,Fiesta,2013,28194,1,0,1099159,22164,Single,1,6,747,Business,Very Good
166,59,Female,Western Cape,Employed,Diploma,26,Mercedes,C200,2019,40393,1,1,1480536,29871,Widowed,0,6,452,Commercial,Poor
167,30,Female,Northern Cape,Self-employed,High School,12,Volkswagen,Polo,2003,37868,2,0,229499,4778,Married,0,24,354,Private,Poor
168,68,Female,Western Cape,Retired,Diploma,18,Ford,Fiesta,2022,18644,0,0,1327717,26828,Divorced,0,24,398,Commercial,Poor
169,49,Male,North West,Employed,High School,31,BMW,X5,2003,14510,0,0,962813,19413,Single,1,24,568,Private,Poor
170,56,Female,Free State,Unemployed,High School,36,BMW,X5,2009,26929,0,1,585607,11906,Single,1,12,417,Business,Poor
171,66,Female,Northern Cape,Retired,High School,37,BMW,X5,2021,20443,0,0,560747,11395,Single,1,24,500,Business,Poor
172,69,Male,North West,Retired,Degree,34,Volkswagen,Golf,2001,28358,0,1,685507,13864,Single,0,6,803,Private,Excellent
173,49,Female,Mpumalanga,Employed,Postgraduate,26,Toyota,Corolla,2017,38638,0,0,1062424,21481,Divorced,0,12,646,Commercial,Fair
174,21,Female,Western Cape,Student,High School,3,Mercedes,GLA,2010,27582,0,0,1063294,21463,Divorced,1,12,382,Private,Poor
175,47,Female,Mpumalanga,Employed,Degree,24,Volkswagen,Golf,2004,15385,0,0,1347314,27162,Widowed,0,24,360,Private,Poor
176,54,Male,Eastern Cape,Employed,Degree,12,Volkswagen,Golf,2016,39465,1,0,51044,1208,Married,1,12,733,Private,Good
177,40,Female,North West,Employed,Degree,11,Volkswagen,Polo,2001,54848,1,0,269168,5594,Single,1,24,520,Private,Poor
178,56,Male,KwaZulu-Natal,Employed,Diploma,21,Mercedes,A200,2002,23799,0,1,367381,7560,Married,1,24,786,Commercial,Very Good
179,62,Female,Northern Cape,Employed,High School,16,Ford,EcoSport,2006,10292,0,0,820121,16640,Widowed,0,6,303,Private,Poor
180,32,Female,Western Cape,Unemployed,Postgraduate,14,Hyundai,Creta,2020,6616,0,0,659016,13325,Single,1,24,625,Private,Fair
181,60,Female,North West,Self-employed,High School,7,Mercedes,A200,2001,12062,0,2,785079,15990,Married,0,24,528,Commercial,Poor
182,46,Female,KwaZulu-Natal,Self-employed,High School,28,Ford,Ranger,2001,24486,0,0,298193,6097,Single,0,24,607,Private,Fair
183,53,Male,Free State,Employed,Postgraduate,28,Mercedes,C200,2007,30992,0,0,148534,3196,Single,0,6,677,Commercial,Good
184,30,Female,KwaZulu-Natal,Self-employed,Degree,12,Hyundai,i20,2015,32426,1,0,616543,12564,Married,1,6,533,Commercial,Poor
185,49,Male,Western Cape,Employed,High School,31,BMW,118i,2002,43296,0,1,352897,7211,Widowed,1,6,447,Business,Poor
186,24,Female,Mpumalanga,Unemployed,Degree,6,BMW,X5,2022,52782,1,1,1063058,21440,Divorced,0,12,477,Business,Poor
187,68,Male,Northern Cape,Retired,Degree,13,Ford,Fiesta,2021,19237,0,0,295493,6141,Widowed,0,24,678,Business,Good
188,39,Female,Northern Cape,Self-employed,Degree,14,Ford,EcoSport,2005,25740,0,0,1461362,29490,Widowed,1,24,391,Commercial,Poor
189,45,Female,Limpopo,Self-employed,Postgraduate,27,Toyota,Corolla,2018,22051,0,0,930864,18768,Divorced,1,6,430,Private,Poor
190,19,Male,Free State,Unemployed,Degree,1,Volkswagen,Tiguan,2021,45564,0,1,514156,10486,Divorced,1,12,676,Commercial,Good
191,59,Male,Northern Cape,Employed,High School,8,Ford,Fiesta,2012,12686,0,1,1013066,20548,Married,0,6,496,Commercial,Poor
192,62,Male,North West,Unemployed,Degree,1,Volkswagen,Tiguan,2003,10993,1,0,172412,3770,Married,0,24,304,Commercial,Poor
193,74,Male,Gauteng,Retired,Diploma,40,Ford,Ranger,2016,34941,1,0,783326,15835,Single,1,24,609,Business,Fair
194,70,Female,Gauteng,Self-employed,Diploma,51,Toyota,Fortuner,2023,30463,1,0,1128530,22754,Widowed,0,6,439,Business,Poor
195,23,Male,Mpumalanga,Unemployed,Diploma,5,Hyundai,i20,2008,26929,2,0,452012,9231,Married,1,24,645,Private,Fair
196,45,Male,Limpopo,Unemployed,Degree,27,Ford,Ranger,2002,50865,1,1,482124,9790,Single,1,12,831,Business,Excellent
197,45,Male,Northern Cape,Employed,High School,13,Hyundai,Creta,2000,40640,0,0,923580,18727,Divorced,0,24,432,Business,Poor
198,61,Female,Gauteng,Unemployed,High School,43,Mercedes,GLA,2000,25197,1,0,374705,7661,Divorced,0,24,542,Business,Poor
199,61,Female,Gauteng,Employed,Degree,43,BMW,320i,2016,32071,1,0,711025,14342,Single,1,12,689,Private,Good
200,37,Female,Gauteng,Employed,Degree,19,Volkswagen,Tiguan,2012,41475,1,2,648889,13173,Single,1,6,412,Private,Poor
201,47,Female,Western Cape,Unemployed,Postgraduate,13,Mercedes,C200,2004,46176,0,1,551843,11282,Widowed,0,6,312,Private,Poor
202,28,Male,Northern Cape,Unemployed,Degree,10,Mercedes,C200,2018,42393,0,0,191898,3974,Widowed,0,24,839,Private,Excellent
203,72,Female,North West,Retired,Diploma,27,Ford,Ranger,2009,39932,0,0,94434,2110,Single,1,6,541,Commercial,Poor
